lgcode_iso3,Name,Family,Genus,Macroarea,title,author,year,pages_sum,inlg_iso3,hhtype
rao,Rao,Ramu-Lower Sepik,Rao,Papunesia,"The language of the Rao people, Grengabu, Madang Province, Papua New Guinea ","Stanhope, John M. ",1980,45,eng,grammar_sketch
ran,Riantana,Kolopom,Kolopom,Papunesia,A Sketch Grammar of Riantana,"Choi, Yun Jung Hannah ",2015,57,eng,grammar_sketch
roo,Rotokas,North Bougainville,North Bougainville,Papunesia,"Split intransitivity in Rotokas, a Papuan language of Bougainville ","Robinson, Stuart ",2011,327,eng,grammar
svs,Savosavo,Solomons East Papuan,Savosavo,Papunesia,A grammar of Savosavo,"Wegener, Claudia U. ",2012,416,eng,grammar
set,Sentani,Sentanic,Sentanic,Papunesia,A grammar sketch of Sentani,Clemens J. Mayer,2021,105,eng,grammar_sketch
skv,Skou,Skou,Western Skou,Papunesia,Draft Forthcoming Skou Reference Grammar,Mark Donohue,2005,727,eng,grammar
sua,Sulka,Sulka,Sulka,Papunesia,Sulka grammar essentials,"Tharp, Douglas ",1996,103,eng,grammar_sketch
gpn,Taiap,Taiap,Taiap,Papunesia,The Structure of the Taiap (Gapun) Language,Don Kulick and Christopher Stroud,1992,24,eng,grammar_sketch
tuh,Taulil,Taulil,Taulil,Papunesia,A grammar of Tulil,"Meng, Chenxi ",2018,516,eng,grammar
kps,Tehit,West Bird's Head,West Bird's Head,Papunesia,"Grammar Sketch of Tehit, a Toror Language, the West Doberai Peninsula, New Guinea (Irian Jaya) ",Don A. L. Flassy,1991,116,eng,grammar_sketch
tvo,Tidore,North Halmaheran,North Halmaheran,Papunesia,Tidore: A Linguistic Description of a Language of the North Moluccas,Miriam van Staden,2000,584,eng,grammar
tqo,Toaripi,Eleman,Eleman,Papunesia,Grammar of the Toaripi Language Spoken at the Eastern End of the Gulf of Papua,Sidney H. Ray,1907,14,eng,grammar_sketch
mlu,Toqabaqita,Austronesian,Oceanic,Papunesia,A grammar of Toqabaqita,"Lichtenberk, Frantisek ",2008,1408,eng,grammar
urt,Urat,Torricelli,Urat,Papunesia,Urat grammar essentials,Barney Barnes,1989,102,eng,grammar_sketch
uri,Urim,Torricelli,Urim,Papunesia,Urim grammar,Ritva Hemmilä and Pirkko Luoma,1987,267,eng,grammar
wax,Watam,Ramu-Lower Sepik,Lower Ramu,Papunesia,"Grammatical relations, information structure and constituency in Watam ","Foley, William A. ",1999,24,eng,grammar_sketch
ygr,Yagaria,Trans-New Guinea,Siane-Yagaria,Papunesia,HUA: A Papuan Language of the Eastern Highlands of New Guinea,John Haiman,1980,602,eng,grammar
yva,Yawa,Yawa,Yawa,Papunesia,Marked transitivity in Yawa discourse,"Jones, Linda K. ",2003,18,eng,grammar_sketch
